[2026-09-07 09:50:41.930] GET / -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:50:46.016] GET /openapi/v1.json -> Status: 200 (246ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:06.068] POST /api/Auth/login -> Status: 401 (1275ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:13.559] POST /api/Auth/login -> Status: 200 (387ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:33.488] DELETE /User/me -> Status: 200 (66ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-07 09:51:49.703] GET /User?id=f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 -> Status: 200 (192ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-07 09:57:21.224] GET /openapi/v1.json -> Status: 200 (247ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:57:39.292] POST /api/Auth/login -> Status: 401 (1207ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:57:44.013] POST /api/Auth/login -> Status: 401 (44ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:38.322] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 401 (39ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:46.353] POST /api/Auth/login -> Status: 200 (316ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:55.776] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (152ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:07.607] DELETE /User/me -> Status: 200 (82ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:12.125] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (20ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:18.921] GET /api/Post/all -> Status: 200 (73ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:38.141] GET /api/Comment/all/4b3eac1e-6183-4abd-b042-0ed72bf6f072 -> Status: 200 (87ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:58.610] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (33ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:01:43.553] PUT /api/Comment/dcb135f1-1671-442a-a46b-23fce3eb3f11 -> Status: 403 (56ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 12:25:40.655] GET / -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:25:44.727] GET /openapi/v1.json -> Status: 200 (274ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:26:00.468] POST /api/Auth/login -> Status: 401 (1248ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:26:06.829] POST /api/Auth/login -> Status: 401 (67ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:26:33.746] POST /api/Auth/login -> Status: 401 (161ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:26:45.450] POST /api/Auth/login -> Status: 200 (250ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 12:28:18.300] POST /User/logout -> Status: 200 (77ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 12:28:29.144] GET /api/Post/all -> Status: 200 (161ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 12:28:49.498] POST /api/Auth/refresh -> Status: 401 (63ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 13:11:22.280] GET / -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:11:26.364] GET /openapi/v1.json -> Status: 200 (262ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:11:38.582] POST /api/Auth/login -> Status: 401 (1346ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:11:44.376] POST /api/Auth/login -> Status: 200 (324ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:12:17.452] POST /api/Auth/login -> Status: 200 (104ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:13:10.432] GET /api/Post/all -> Status: 200 (131ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 13:13:30.095] GET /User/ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (113ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 13:13:37.880] POST /User/add-to-admin/ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (134ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 13:14:30.579] GET /api/Post/all -> Status: 200 (28ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:14:42.877] DELETE /api/Post/4b3eac1e-6183-4abd-b042-0ed72bf6f072 -> Status: 403 (39ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:15:43.942] DELETE /api/Post/4b3eac1e-6183-4abd-b042-0ed72bf6f072 -> Status: 204 (91ms) | User: 2e59e43c-8f7a-4127-b775-fd1bdbfff042 | UserName: tamasgy | IP: ::1
[2026-09-07 13:17:01.481] GET /openapi/v1.json -> Status: 200 (239ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:17:29.386] GET /api/Post/all -> Status: 200 (1289ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:17:38.313] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (121ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:17:55.392] DELETE /api/Comment/dcb135f1-1671-442a-a46b-23fce3eb3f11 -> Status: 403 (74ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:24:37.931] GET /openapi/v1.json -> Status: 200 (234ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:25:00.833] POST /api/Auth/login -> Status: 200 (1573ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:25:13.695] GET /api/Post/all -> Status: 200 (136ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:25:25.794] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (99ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:25:39.982] DELETE /api/Comment/dcb135f1-1671-442a-a46b-23fce3eb3f11 -> Status: 204 (108ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
[2026-09-07 13:36:52.616] GET /openapi/v1.json -> Status: 200 (243ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:37:03.071] POST /api/Auth/login -> Status: 200 (1466ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:37:54.549] GET /openapi/v1.json -> Status: 200 (221ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:38:25.165] POST /api/Auth/login -> Status: 200 (1564ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 13:38:35.970] GET /User -> Status: 200 (175ms) | User: ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 | UserName: szonja | IP: ::1
