[2026-09-07 09:50:41.930] GET / -> Status: 404 (0ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:50:46.016] GET /openapi/v1.json -> Status: 200 (246ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:06.068] POST /api/Auth/login -> Status: 401 (1275ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:13.559] POST /api/Auth/login -> Status: 200 (387ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:51:33.488] DELETE /User/me -> Status: 200 (66ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-07 09:51:49.703] GET /User?id=f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 -> Status: 200 (192ms) | User: f12f61a7-e7e3-4d2d-a6a3-329d89c2b5a5 | UserName: kontra | IP: ::1
[2026-09-07 09:57:21.224] GET /openapi/v1.json -> Status: 200 (247ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:57:39.292] POST /api/Auth/login -> Status: 401 (1207ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:57:44.013] POST /api/Auth/login -> Status: 401 (44ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:38.322] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 401 (39ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:46.353] POST /api/Auth/login -> Status: 200 (316ms) | User: Anonymous | UserName: Anonymous | IP: ::1
[2026-09-07 09:59:55.776] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (152ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:07.607] DELETE /User/me -> Status: 200 (82ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:12.125] GET /User?id=ba4f7cc0-b4ab-4322-92fa-d93ecd981c13 -> Status: 200 (20ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:18.921] GET /api/Post/all -> Status: 200 (73ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:38.141] GET /api/Comment/all/4b3eac1e-6183-4abd-b042-0ed72bf6f072 -> Status: 200 (87ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:00:58.610] GET /api/Comment/all/211537f9-a127-41df-82ef-de259fb24d7c -> Status: 200 (33ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
[2026-09-07 10:01:43.553] PUT /api/Comment/dcb135f1-1671-442a-a46b-23fce3eb3f11 -> Status: 403 (56ms) | User: 8aed4790-2bfd-408c-8e89-bb74f4f6ae7a | UserName: kovacspista_ | IP: ::1
